id,code,country,height,lat,lon,name,type
2014,DEBY033,Germany,390,48.539799,12.157049,Landshut/Podewilsstraße,traffic
2015,DENW232,Germany,57,51.120014,6.96917,Langenfeld Schneiderstraße,traffic
2016,DENW051,Germany,65,51.090858,6.976433,Langenfeld-Reusrath,background
2017,DEBY034,Germany,320,49.506504,11.273913,Lauf a.d. Pegnitz/Albertistraße,background
2018,DESL006,Germany,221,49.183361,6.744856,Lauterbach,background
2019,DEBY142,Germany,610,47.9018,10.1162,Lautrach,background
2020,DEUB035,Germany,527,50.828465,13.586547,Lehnmühle,background
2021,DEUB032,Germany,356,51.392868,10.312378,Leinefelde,background
2022,DESN077,Germany,113,51.335869,12.334685,Leipzig Lützner Str. 36,traffic
2023,DESN025,Germany,110,51.344162,12.377164,Leipzig-Mitte,traffic
2024,DESN026,Germany,130,51.331886,12.366112,Leipzig-Mitte1 Beethovenstr.,background
2025,DESN027,Germany,118,51.359764,12.415861,Leipzig-Nordost,background
2026,DESN028,Germany,120,51.318726,12.377628,Leipzig-Süd,background
2027,DESN055,Germany,146,51.31601,12.411016,Leipzig-Südost,background
2028,DESN029,Germany,116,51.332142,12.340427,Leipzig-Südwest,traffic
2029,DESN082,Germany,110,51.375988,12.425748,Leipzig-Thekla,background
2030,DESN059,Germany,115,51.317902,12.297412,Leipzig-West,background
2031,DENW026,Germany,97,51.455601,7.092825,Leithe,background
2032,DEMV024,Germany,116,53.396348,12.463929,Leizen,background
2033,DEBW069,Germany,385,48.79554,9.016339,Leonberg,background
2034,DEBW120,Germany,388,48.801582,9.016747,Leonberg Grabenstraße (S),traffic
2035,DEBW066,Germany,365,48.784931,9.013272,Leonberg Ost,traffic
2036,DEBW106,Germany,365,48.784973,9.013272,Leonberg-BAB,traffic
2037,DEST090,Germany,100,51.321381,12.032136,Leuna,industrial
2038,DENW054,Germany,45,51.038399,7.005983,Leverkusen,background
2039,DENW079,Germany,50,51.028877,7.005064,Leverkusen-Manfort,background
2040,DEBY036,Germany,577,50.382484,11.675161,Lichtenberg/Feuerwehrhaus,industrial
2041,DEHE044,Germany,128,50.383213,8.060997,Limburg,background
2042,DEHE098,Germany,132,50.384468,8.05385,Limburg Diezer Str. 49,traffic
2043,DEHE101,Germany,143,50.383118,8.070441,Limburg Frankfurter Str. 52,traffic
2044,DEHE099,Germany,122,50.386211,8.059642,Limburg Schiede 28-30,traffic
2045,DEHE100,Germany,122,50.387589,8.059131,Limburg Schiede 37-41,traffic
2046,DEBY035,Germany,403,47.55439,9.690022,Lindau (Bodensee)/Holdereggenstraße,traffic
2047,DEHE042,Germany,172,50.532963,8.684398,Linden/Leihgestern,background
2048,DEUB025,Germany,98,52.210632,14.119534,Lindenberg,background
2049,DESH044,Germany,23,54.465285,9.969578,Lindhof,background
2050,DETH010,Germany,500,50.451859,11.640411,Lobenstein H.-Behr-Str.,background
2051,DETH053,Germany,500,50.448078,11.639636,Lobenstein Teich-Str,background
2052,DEBB043,Germany,62,51.855583,13.706503,Luckau,background
2053,DEBB015,Germany,64,51.853294,13.70603,"Luckau, 1991-1993",background
2054,DEBB036,Germany,48,52.08918,13.171803,Luckenwalde,background
2055,DEBW024,Germany,302,48.899233,9.172792,Ludwigsburg,background
